mapping,t_@main,asapScheduling,energyConsumption,executionTime,listScheduling,memorySize,platformSize
1,ARM00,5483933567,8.80713e+10,13664821588,6560625699,5320,7
2,ARM01,5483933567,8.80713e+10,13664821588,6560625699,5320,7
3,ARM02,5483933567,8.80713e+10,13664821588,6560625699,5320,7
4,ARM03,5483933567,8.80713e+10,13664821588,6560625699,5320,7
